"SHOW","THIS.WEEK.GROSS...POTENTIAL.GROSS","DIFF..","AVG.TICKET...TOP.TICKET","SEATS.SOLD...SEATS.IN.THEATRE","PERFS.PREVIEWS","X..CAP","DIFF...CAP","WEEK.DATE"
"Kimberly Akimbo",720330,257454.85,121.12,5947,8,96.17,22.38,"2023-12-31"
"The Lion King",4316629,1212358,286.61,15061,9,98.67,3.52,"2023-12-31"
"Merrily We Roll Along",1995358,129378,258.2,7728,8,100,0,"2023-12-31"
"MJ The Musical",2613841,735600,208.62,12529,9,100.37,1.74,"2023-12-31"
"Moulin Rouge! The Musical",1786154.1,339472.76,171.86,10393,8,99.93,1.37,"2023-12-31"
"Prayer For The French Republic",250336,15714,88.87,2817,0,88.45,3.36,"2023-12-31"
"Purlie Victorious",601535.3,135816.3,112.39,5352,9,59.41,7.02,"2023-12-31"
"Shucked",1050250.6,315645.4,112.82,9309,8,99.37,11.89,"2023-12-31"
"SIX: The Musical",1659004,651483.9,177.99,9321,9,100.45,3.05,"2023-12-31"
"Some Like It Hot",1398818.06,460390.81,125.01,11190,8,96.6,9.87,"2023-12-31"
"Spamalot",1503186.65,453255.45,117.76,12765,8,96.53,15.52,"2023-12-31"
"Sweeney Todd",2261278.5,389132,216.04,10467,7,99.82,-0.3,"2023-12-31"
"Wicked",4003233,1477267,231.01,17329,9,99.97,0.09,"2023-12-31"
"& Juliet",1348040.2,149003.3,166.32,8105,8,98.75,6.17,"2023-12-24"
"Aladdin",1931382.9,355551.3,142.93,13513,8,97.81,3.3,"2023-12-24"
"Appropriate",524862.85,11192.7,128.96,4070,8,87.56,-11.06,"2023-12-24"
"Back To The Future",1551207.14,186268.76,132.04,11748,8,99.36,7.95,"2023-12-24"
"A Beautiful Noise The Neil Diamond Musical",695207,-302070,141.22,4923,7,61,-11.04,"2023-12-24"
"The Book of Mormon",1300018.96,97074.24,156.48,8308,8,97.42,0.42,"2023-12-24"
"Chicago",810448,12212.7,113.19,7160,7,94.71,6.98,"2023-12-24"
"Gutenberg! The Musical!",985868.8,-41136.5,123.37,7991,8,93.88,-1.02,"2023-12-24"
"Hadestown",842319.15,77729.95,115.18,7313,8,99.58,1.83,"2023-12-24"
"Hamilton",2316949,328472,216.29,10712,8,101.13,0.1,"2023-12-24"
"Harmony",390002.86,-153628.08,97.26,4010,7,55.73,-2.55,"2023-12-24"
"Harry Potter and the Cursed Child",2037202.1,521403.3,165.68,12296,8,94.76,7.68,"2023-12-24"
"How to Dance in Ohio",323467.65,-40578.45,64.93,4982,8,62.97,-6.63,"2023-12-24"
"I Need That",835063.2,13475.4,142.43,5863,8,99.04,0.04,"2023-12-24"
"Kimberly Akimbo",462875.15,-65647.65,101.44,4563,8,73.79,-3.25,"2023-12-24"
"The Lion King",3104271,594938,240.45,12910,8,95.15,-0.72,"2023-12-24"
"Merrily We Roll Along",1865980,-66261,241.46,7728,8,100,0,"2023-12-24"
"MJ The Musical",1878241,195232,171.62,10944,8,98.63,3.83,"2023-12-24"
"Moulin Rouge! The Musical",1446681.34,-84704.06,141.14,10250,8,98.56,-1.04,"2023-12-24"
